cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,tick_spacing,strategy_id
,,0,bancor_v3 BNT-FF1C/AAVE-DaE9 0.000,BNT-FF1C/AAVE-DaE9,bancor_v3,0,0,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,BNT-FF1C,AAVE-DaE9,18,18,2,BNT,AAVE,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/ACRE-FC21 0.000,BNT-FF1C/ACRE-FC21,bancor_v3,0,0,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xb2cABf797bc907B049e4cCB5b84d13be3a8CFC21,BNT-FF1C,ACRE-FC21,18,18,2,BNT,ACRE,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/ALPHA-0975 0.000,BNT-FF1C/ALPHA-0975,bancor_v3,0,0,0x8798249c2E607446EfB7Ad49eC89dD1865Ff4272,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,BNT-FF1C,ALPHA-0975,18,18,2,BNT,ALPHA,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/AMP-95C2 0.000,BNT-FF1C/AMP-95C2,bancor_v3,0,0,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2,BNT-FF1C,AMP-95C2,18,18,2,BNT,AMP,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/ANKR-EDD4 0.000,BNT-FF1C/ANKR-EDD4,bancor_v3,0,0,0x939B462ee3311f8926c047D2B576C389092b1649,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4,BNT-FF1C,ANKR-EDD4,18,18,2,BNT,ANKR,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/APW-60c8 0.000,BNT-FF1C/APW-60c8,bancor_v3,0,0,0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x4104b135DBC9609Fc1A9490E61369036497660c8,BNT-FF1C,APW-60c8,18,18,2,BNT,APW,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/ARCONA-52B3 0.000,BNT-FF1C/ARCONA-52B3,bancor_v3,0,0,0x4104b135DBC9609Fc1A9490E61369036497660c8,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0f71B8De197A1C84d31de0F1fA7926c365F052B3,BNT-FF1C,ARCONA-52B3,18,18,2,BNT,ARCONA,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/ARMOR-E46a 0.000,BNT-FF1C/ARMOR-E46a,bancor_v3,0,0,0x0f71B8De197A1C84d31de0F1fA7926c365F052B3,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x1337DEF16F9B486fAEd0293eb623Dc8395dFE46a,BNT-FF1C,ARMOR-E46a,18,18,2,BNT,ARMOR,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/AUC-5663 0.000,BNT-FF1C/AUC-5663,bancor_v3,0,0,0x1337DEF16F9B486fAEd0293eb623Dc8395dFE46a,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc12d099be31567add4e4e4d0D45691C3F58f5663,BNT-FF1C,AUC-5663,18,18,2,BNT,AUC,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/BAT-87EF 0.000,BNT-FF1C/BAT-87EF,bancor_v3,0,0,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,BNT-FF1C,BAT-87EF,18,18,2,BNT,BAT,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/BBS-B430 0.000,BNT-FF1C/BBS-B430,bancor_v3,0,0,0xc12d099be31567add4e4e4d0D45691C3F58f5663,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xFe459828c90c0BA4bC8b42F5C5D44F316700B430,BNT-FF1C,BBS-B430,18,18,2,BNT,BBS,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/BORING-92CA 0.000,BNT-FF1C/BORING-92CA,bancor_v3,0,0,0xFe459828c90c0BA4bC8b42F5C5D44F316700B430,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xBC19712FEB3a26080eBf6f2F7849b417FdD792CA,BNT-FF1C,BORING-92CA,18,18,2,BNT,BORING,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/CHZ-b4AF 0.000,BNT-FF1C/CHZ-b4AF,bancor_v3,0,0,0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,BNT-FF1C,CHZ-b4AF,18,18,2,BNT,CHZ,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/COMP-6888 0.000,BNT-FF1C/COMP-6888,bancor_v3,0,0,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc00e94Cb662C3520282E6f5717214004A7f26888,BNT-FF1C,COMP-6888,18,18,2,BNT,COMP,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/CROWN-E0fa 0.000,BNT-FF1C/CROWN-E0fa,bancor_v3,0,0,0xb2cABf797bc907B049e4cCB5b84d13be3a8CFC21,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x444d6088B0F625f8C20192623B3C43001135E0fa,BNT-FF1C,CROWN-E0fa,18,18,2,BNT,CROWN,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/DAI-1d0F 0.000,BNT-FF1C/DAI-1d0F,bancor_v3,0,0,0xc00e94Cb662C3520282E6f5717214004A7f26888,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6B175474E89094C44Da98b954EedeAC495271d0F,BNT-FF1C,DAI-1d0F,18,18,2,BNT,DAI,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/DAPP-1649 0.000,BNT-FF1C/DAPP-1649,bancor_v3,0,0,0xfF20817765cB7f73d4bde2e66e067E58D11095C2,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x939B462ee3311f8926c047D2B576C389092b1649,BNT-FF1C,DAPP-1649,18,4,2,BNT,DAPP,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/DIP-cD83 0.000,BNT-FF1C/DIP-cD83,bancor_v3,0,0,0x6B175474E89094C44Da98b954EedeAC495271d0F,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc719d010B63E5bbF2C0551872CD5316ED26AcD83,BNT-FF1C,DIP-cD83,18,18,2,BNT,DIP,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/EDEN-1559 0.000,BNT-FF1C/EDEN-1559,bancor_v3,0,0,0x444d6088B0F625f8C20192623B3C43001135E0fa,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x1559FA1b8F28238FD5D76D9f434ad86FD20D1559,BNT-FF1C,EDEN-1559,18,18,2,BNT,EDEN,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/ENJ-3B9c 0.000,BNT-FF1C/ENJ-3B9c,bancor_v3,0,0,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c,BNT-FF1C,ENJ-3B9c,18,18,2,BNT,ENJ,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/ENS-9D72 0.000,BNT-FF1C/ENS-9D72,bancor_v3,0,0,0xBC19712FEB3a26080eBf6f2F7849b417FdD792CA,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,BNT-FF1C,ENS-9D72,18,18,2,BNT,ENS,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/eRSDL-D3A6 0.000,BNT-FF1C/eRSDL-D3A6,bancor_v3,0,0,0x888888888889C00c67689029D7856AAC1065eC11,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x5218E472cFCFE0b64A064F055B43b4cdC9EfD3A6,BNT-FF1C,eRSDL-D3A6,18,18,2,BNT,eRSDL,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/ETH-EEeE 0.000,BNT-FF1C/ETH-EEeE,bancor_v3,0,0,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,BNT-FF1C,ETH-EEeE,18,18,2,BNT,ETH,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/GRT-44a7 0.000,BNT-FF1C/GRT-44a7,bancor_v3,0,0,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,BNT-FF1C,GRT-44a7,18,18,2,BNT,GRT,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/HEGIC-8430 0.000,BNT-FF1C/HEGIC-8430,bancor_v3,0,0,0x5218E472cFCFE0b64A064F055B43b4cdC9EfD3A6,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x584bC13c7D411c00c01A62e8019472dE68768430,BNT-FF1C,HEGIC-8430,18,18,2,BNT,HEGIC,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/HOT-26E2 0.000,BNT-FF1C/HOT-26E2,bancor_v3,0,0,0x584bC13c7D411c00c01A62e8019472dE68768430,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6c6EE5e31d828De241282B9606C8e98Ea48526E2,BNT-FF1C,HOT-26E2,18,18,2,BNT,HOT,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/ICHI-A881 0.000,BNT-FF1C/ICHI-A881,bancor_v3,0,0,0x6c6EE5e31d828De241282B9606C8e98Ea48526E2,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x903bEF1736CDdf2A537176cf3C64579C3867A881,BNT-FF1C,ICHI-A881,18,9,2,BNT,ICHI,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/IDLE-D39e 0.000,BNT-FF1C/IDLE-D39e,bancor_v3,0,0,0x903bEF1736CDdf2A537176cf3C64579C3867A881,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x875773784Af8135eA0ef43b5a374AaD105c5D39e,BNT-FF1C,IDLE-D39e,18,18,2,BNT,IDLE,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/INDEX-4cab 0.000,BNT-FF1C/INDEX-4cab,bancor_v3,0,0,0x491E136FF7FF03E6aB097E54734697Bb5802FC1C,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0954906da0Bf32d5479e25f46056d22f08464cab,BNT-FF1C,INDEX-4cab,18,18,2,BNT,INDEX,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/KTN-FC1C 0.000,BNT-FF1C/KTN-FC1C,bancor_v3,0,0,0x875773784Af8135eA0ef43b5a374AaD105c5D39e,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x491E136FF7FF03E6aB097E54734697Bb5802FC1C,BNT-FF1C,KTN-FC1C,18,18,2,BNT,KTN,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/LINK-86CA 0.000,BNT-FF1C/LINK-86CA,bancor_v3,0,0,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x514910771AF9Ca656af840dff83E8264EcF986CA,BNT-FF1C,LINK-86CA,18,18,2,BNT,LINK,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/LPL-75B8 0.000,BNT-FF1C/LPL-75B8,bancor_v3,0,0,0xE1Fc4455f62a6E89476f1072530C20CF1A0622dA,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x99295f1141d58A99e939F7bE6BBe734916a875B8,BNT-FF1C,LPL-75B8,18,18,2,BNT,LPL,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/LRC-EafD 0.000,BNT-FF1C/LRC-EafD,bancor_v3,0,0,0x0954906da0Bf32d5479e25f46056d22f08464cab,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,BNT-FF1C,LRC-EafD,18,18,2,BNT,LRC,,,,,,,0,0
,,0,bancor_v3 BNT-FF1C/MANA-C942 0.000,BNT-FF1C/MANA-C942,bancor_v3,0,0,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,BNT-FF1C,MANA-C942,18,18,2,BNT,MANA,,,,,,,0,0
